id	raw_text	normalized_text	speaker_id	split	raw_ner	normalized_ner
20170216-0900-PLENARY-2-en_20170216-08:38:34_14	second, new guidelines on public service obligation	second new guidelines on public service obligation;	None	fine-tune	[['ORDINAL', 0, 6]]	[['ORDINAL', 0, 6]]
20170216-0900-PLENARY-2-en_20170216-08:38:34_3	We are talking about more than two million direct jobs and a direct contribution of EUR 110 billion to the EU economy.	we are talking about more than two million direct jobs and a direct contribution of eur one hundred and ten billion to the eu economy.	None	fine-tune	[['GPE', 107, 2], ['MONEY', 84, 15], ['CARDINAL', 31, 11]]	[['GPE', 123, 2], ['MONEY', 84, 31], ['CARDINAL', 31, 11]]
20170216-0900-PLENARY-2-en_20170216-08:38:34_5	It is clear that we have our work cut out all actors, both at national and European level so allow me to turn to the key points raised in your report. First, regarding the internal market, I fully support swift progress on the blocked aviation files.	it is clear that we have our work cut out all actors both at national and european level so allow me to turn to the key points raised in your report. first regarding the internal market i fully support swift progress on the blocked aviation files.	None	fine-tune	[['ORDINAL', 151, 5], ['NORP', 75, 8]]	[['ORDINAL', 150, 5], ['NORP', 74, 8]]
20170216-0900-PLENARY-2-en_20170216-08:38:34_9	On foreign investment, the Commission welcomes your continued support and interest in the EU level comprehensive aviation agreements. In line with our commitments, we will keep you fully informed at all stages of the negotiations.	on foreign investment the commission welcomes your continued support and interest in the eu level comprehensive aviation agreements. in line with our commitments we will keep you fully informed at all stages of the negotiations.	None	fine-tune	[['GPE', 90, 2]]	[['GPE', 89, 2]]
20170216-0900-PLENARY-2-en_20170216-08:38:34_7	I fully agree with your call for completing the EU single market for aviation.	i fully agree with your call for completing the eu single market for aviation.	None	fine-tune	[['GPE', 48, 2]]	[['GPE', 48, 2]]
20170216-0900-PLENARY-2-en_20170216-08:52:16_5	Aviation is the most highly regulated form of transport. It is held to the most stringent legal safety standards with contracts of both pilots and crew having to be compliant with EASA EU OPS and flight time limitations.	aviation is the most highly regulated form of transport. it is held to the most stringent legal safety standards with contracts of both pilots and crew having to be compliant with easa eu ops and flight time limitations.	4553	fine-tune	[['LAW', 180, 11]]	[['LAW', 180, 11]]
20170216-0900-PLENARY-2-en_20170216-08:52:16_3		fifty four unbelievably their text infers that professional pilots on european airlines are employed on illegal bogus contracts thereby putting passengers in danger.	4553	fine-tune	[]	[['NORP', 70, 8], ['CARDINAL', 0, 10]]
20170216-0900-PLENARY-2-en_20170216-08:52:16_9	To conclude, this sends out the wrong signals for this committee.	to conclude this sends out the wrong signals for this committee.	4553	fine-tune	None	None
20170216-0900-PLENARY-2-en_20170216-08:52:16_7	To make matters worse, we have been unable to amend the contribution by the Employment Committee.	to make matters worse we have been unable to amend the contribution by the employment committee.	4553	fine-tune	[['ORG', 76, 20]]	[['ORG', 75, 20]]
20170216-0900-PLENARY-2-en_20170216-08:52:16_11	Why should they book flights?	why should they book flights?	4553	fine-tune	None	None
20170216-0900-PLENARY-2-en_20170216-08:52:16_13	I hope this message has got through, Commissioner, namely that we have to be very careful when we allow other committees to have so much input on certain dossiers.	i hope this message has got through commissioner namely that we have to be very careful when we allow other committees to have so much input on certain dossiers.	4553	fine-tune	None	None
20170216-0900-PLENARY-2-en_20170216-08:52:16_15	an opinion would have been quite sufficient.	an opinion would have been quite sufficient.	4553	fine-tune	None	None
20170216-0900-PLENARY-2-en_20170216-08:52:16_12	Therefore, I am not prepared to appease this ill thought through element of the report which has been included and which we have been unable to change, but I thank again for the hard work, and I know he understands this position.	therefore i am not prepared to appease this ill thought through element of the report which has been included and which we have been unable to change but i thank again for the hard work and i know he understands this position.	4553	fine-tune	None	None
20170216-0900-PLENARY-2-en_20170216-08:52:16_14	This was incorrect	this was incorrect;	4553	fine-tune	None	None
20170216-0900-PLENARY-2-en_20170216-08:52:16_10	To suggest it is not safe for European citizens to fly on European carriers is quite disgraceful.	to suggest it is not safe for european citizens to fly on european carriers is quite disgraceful.	4553	fine-tune	[['NORP', 58, 8], ['NORP', 30, 8]]	[['NORP', 58, 8], ['NORP', 30, 8]]
20170216-0900-PLENARY-2-en_20170216-08:52:16_6	Therefore, these accusations are misleading, provocative and have no foundation.	therefore these accusations are misleading provocative and have no foundation.	4553	fine-tune	None	None
20170216-0900-PLENARY-2-en_20170216-08:52:16_8	We have already made numerous references to good working conditions, high skill jobs and training throughout the report, not least because all of us here support good jobs and good contracts of employment.	we have already made numerous references to good working conditions high skill jobs and training throughout the report not least because all of us here support good jobs and good contracts of employment.	4553	fine-tune	None	None
20170216-0900-PLENARY-2-en_20170216-08:52:16_4	None of their references are evidence based and, in addition, comments regarding business models, such as home base' criteria, also have no place in this report, showing breathtaking ignorance, as 70 of flights across Europe come under general aviation.	none of their references are evidence based and in addition comments regarding business models such as home base' criteria also have no place in this report showing breathtaking ignorance as seventy of flights across europe come under general aviation.	4553	fine-tune	[['LOC', 218, 6], ['CARDINAL', 197, 2]]	[['LOC', 217, 6], ['CARDINAL', 191, 7]]
20170216-0900-PLENARY-2-en_20170216-08:32:37_10	This is, to a certain extent, the purpose of this report, to try to find some practical alternatives for what is not working today and to make some proposals for the future.	this is to a certain extent the purpose of this report to try to find some practical alternatives for what is not working today and to make some proposals for the future.	124706	fine-tune	None	None
20170216-0900-PLENARY-2-en_20170216-08:32:37_21	Competition is an opportunity for our airlines.	competition is an opportunity for our airlines.	124706	fine-tune	None	None
20170216-0900-PLENARY-2-en_20170216-08:32:37_8	This is, of course, very welcome and we have already started working on some of it, but, at the same time, we still are still awaiting some of the proposals. The aviation sector undoubtedly requires heavy investment in a fast evolving environment.	this is of course very welcome and we have already started working on some of it but at the same time we still are still awaiting some of the proposals. the aviation sector undoubtedly requires heavy investment in a fast evolving environment.	124706	fine-tune	None	None
20170216-0900-PLENARY-2-en_20170216-08:32:37_12	First of all, develop a connectivity index based on added value of all modes of transport, in order to rationalise investment and improve the overall resilience of the transport network in Europe, while improving connectivity. This index can help policymakers to take the appropriate decisions without undermining territorial cohesion.	first of all develop a connectivity index based on added value of all modes of transport in order to rationalise investment and improve the overall resilience of the transport network in europe while improving connectivity. this index can help policymakers to take the appropriate decisions without undermining territorial cohesion.	124706	fine-tune	[['LOC', 189, 6], ['ORDINAL', 0, 5]]	[['LOC', 187, 6], ['ORDINAL', 0, 5]]
20170216-0900-PLENARY-2-en_20170216-08:32:37_6	Competition with third countries, digitalisation it is now more than a year ago that the Commission came with its plan to address these and some other challenges.	competition with third countries digitalisation it is now more than a year ago that the commission came with its plan to address these and some other challenges.	124706	fine-tune	[['DATE', 69, 10], ['ORDINAL', 17, 5]]	[['DATE', 68, 10], ['ORDINAL', 17, 5]]
20170216-0900-PLENARY-2-en_20170216-08:32:37_15	I promised that I would make it clear to the Commission that this completely means that we are putting an EU stamp on a part of the airspace and saying that in this airspace the EU should have priority over national flights.	i promised that i would make it clear to the commission that this completely means that we are putting an eu stamp on a part of the airspace and saying that in this airspace the eu should have priority over national flights.	124706	fine-tune	[['GPE', 178, 2], ['GPE', 106, 2]]	[['GPE', 178, 2], ['GPE', 106, 2]]
20170216-0900-PLENARY-2-en_20170216-08:32:37_9	If we want to be efficient, then we need to set a clear vision for this sector, for the investments we make today and in the future. We need to have a vision for the next, even I would say, 50 years.	if we want to be efficient then we need to set a clear vision for this sector for the investments we make today and in the future. we need to have a vision for the next even i would say fifty years.	124706	fine-tune	[['DATE', 190, 8], ['DATE', 108, 5]]	[['DATE', 186, 11], ['DATE', 106, 5]]
20170216-0900-PLENARY-2-en_20170216-08:32:37_26	That is why the Commission is invited to consider the creation of an EU pre check system where passengers could voluntarily register in order to go through smooth security checks once at the airport.	that is why the commission is invited to consider the creation of an eu pre check system where passengers could voluntarily register in order to go through smooth security checks once at the airport.	124706	fine-tune	[['GPE', 69, 2]]	[['GPE', 69, 2]]
20170216-0900-PLENARY-2-en_20170216-08:32:37_20	This is only going to be detrimental to passengers.	this is only going to be detrimental to passengers.	124706	fine-tune	None	None
20170216-0900-PLENARY-2-en_20170216-08:32:37_11	I am afraid I cannot list all of them today, but at least allow me to make a few points.	i am afraid i cannot list all of them today but at least allow me to make a few points.	124706	fine-tune	[['DATE', 38, 5]]	[['DATE', 38, 5]]
20170216-0900-PLENARY-2-en_20170216-08:32:37_17	On the contrary, this is only about recalling some obligations that we should have towards the European Union.	on the contrary this is only about recalling some obligations that we should have towards the european union.	124706	fine-tune	[['GPE', 95, 14]]	[['GPE', 94, 14]]
20170216-0900-PLENARY-2-en_20170216-08:47:27_10	We also have the challenges of environmental targets and, of course, the files that are still sitting have not been resolved single European sky, slot regulation, passenger rights.	we also have the challenges of environmental targets and of course the files that are still sitting have not been resolved single european sky slot regulation passenger rights.	124988	fine-tune	[['NORP', 132, 8]]	[['NORP', 130, 8]]
20170216-0900-PLENARY-2-en_20170216-08:47:27_7	Congestion is going to be a difficulty.	congestion is going to be a difficulty.	124988	fine-tune	None	None
20170216-0900-PLENARY-2-en_20170216-08:47:27_1	As we look back over the last 20 years and look at the benefits of liberalisation and single skies in our airspace and what that has meant for businesses, for jobs, for tourism, connecting people, regions and cities that was bold, that was ambitious and that has led to the growth of low cost airlines connecting people across Europe. Now we need the next tranche, the next wave of ambition. The aviation agreements are urgent and they need to progress, and I think this was outlined clearly in the committee's report. Europe is important in terms of aviation but that importance is slipping, and we now see growth in the Middle East, Asia and the Pacific area.	as we look back over the last twenty thirty years and look at the benefits of liberalisation and single skies in our airspace and what that has meant for businesses for jobs for tourism connecting people regions and cities that was bold that was ambitious and that has led to the growth of low cost airlines connecting people across europe. now we need the next tranche the next wave of ambition. the aviation agreements are urgent and they need to progress and i think this was outlined clearly in the committee's report. europe is important in terms of aviation but that importance is slipping and we now see growth in the middle east asia and the pacific area.	124988	fine-tune	[['LOC', 648, 7], ['LOC', 635, 4], ['LOC', 622, 11], ['LOC', 519, 6], ['LOC', 327, 6], ['DATE', 21, 17]]	[['LOC', 650, 7], ['LOC', 637, 4], ['LOC', 625, 11], ['LOC', 523, 6], ['LOC', 333, 6], ['DATE', 21, 28]]
20170216-0900-PLENARY-2-en_20170216-08:47:27_5	So the aviation air agreements, we have seen, are urgent, are important.	so the aviation air agreements we have seen are urgent are important.	124988	fine-tune	None	None
20170216-0900-PLENARY-2-en_20170216-08:47:27_3	We know well the benefits of external aviation agreements.	we know well the benefits of external aviation agreements.	124988	fine-tune	None	None
20170216-0900-PLENARY-2-en_20170216-08:47:27_4	I mean, look at Morocco, at the way activity has doubled, the Balkan states, doubled, similarly with Canada and the US.	i mean look at morocco at the way activity has doubled the balkan states doubled similarly with canada and the us.	124988	fine-tune	[['GPE', 116, 2], ['GPE', 101, 6], ['NORP', 62, 6], ['GPE', 16, 7]]	[['GPE', 111, 2], ['GPE', 96, 6], ['NORP', 59, 6], ['GPE', 15, 7]]
20170216-0900-PLENARY-2-en_20170216-08:47:27_2	So we need to facilitate our European airlines and the aviation sector to tap into the growth potential of the fast growing external markets.	so we need to facilitate our european airlines and the aviation sector to tap into the growth potential of the fast growing external markets.	124988	fine-tune	[['NORP', 29, 8]]	[['NORP', 29, 8]]
20170216-0900-PLENARY-2-en_20170216-08:47:27_8		we know that by two thousand and thirty five two million flights will be lost due to airport capacity shortage in our airports.	124988	fine-tune	[]	[['CARDINAL', 45, 11], ['DATE', 16, 28]]
20170216-0900-PLENARY-2-en_20170216-08:47:27_6	We also need to look at ourselves and recognise that there are difficulties.	we also need to look at ourselves and recognise that there are difficulties.	124988	fine-tune	None	None
20170216-0900-PLENARY-2-en_20170216-08:47:27_11	Commissioner, this is a time when European aviation is a success, it has been a success and it can be a success again if we equip our aviation sector to deal with the challenges that it faces today.	commissioner this is a time when european aviation is a success it has been a success and it can be a success again if we equip our aviation sector to deal with the challenges that it faces today.	124988	fine-tune	[['NORP', 34, 8]]	[['NORP', 33, 8]]
20170216-0900-PLENARY-2-en_20170216-09:21:34_2	The strategy on aviation is really a very one sided approach, looking only at the problems of unfair competition internationally and, of course, some issues we have in the European airspace. The rapporteur, unfortunately, did not take the integral approach that is needed for the aviation sector.	the strategy on aviation is really a very one sided approach looking only at the problems of unfair competition internationally and of course some issues we have in the european airspace. the rapporteur unfortunately did not take the integral approach that is needed for the aviation sector.	96725	fine-tune	[['NORP', 172, 8]]	[['NORP', 169, 8]]
20170216-0900-PLENARY-2-en_20170216-09:21:34_4	However, on the environmental side it hardly does anything it does not even mention the Paris Agreement.	however on the environmental side it hardly does anything it does not even mention the paris agreement.	96725	fine-tune	[['LAW', 88, 15]]	[['LAW', 87, 15]]
20170216-0900-PLENARY-2-en_20170216-09:17:09_0	Mr President, the continuing success of our aviation sector is very important for Europeans, as travellers and also as workers.	mr president the continuing success of our aviation sector is very important for europeans as travellers and also as workers.	124949	fine-tune	[['NORP', 82, 9]]	[['NORP', 81, 9]]
20170216-0900-PLENARY-2-en_20170216-09:17:09_1	I very much welcome the excellent work done by many MEP colleagues in producing our views on an overarching aviation strategy.	i very much welcome the excellent work done by many mep colleagues in producing our views on an overarching aviation strategy.	124949	fine-tune	None	None
20170216-0900-PLENARY-2-en_20170216-09:17:09_2	This work has included engaging constructively with the Commission's focus on a forward looking framework for regulation of the sector on the basis of a common European vision.	this work has included engaging constructively with the commission's focus on a forward looking framework for regulation of the sector on the basis of a common european vision.	124949	fine-tune	[['NORP', 160, 8]]	[['NORP', 160, 8]]
20170216-0900-PLENARY-2-en_20170216-09:17:09_3	Making the Single European Sky a reality, regardless of national demarcations, would benefit all of us.	making the single european sky a reality regardless of national demarcations would benefit all of us.	124949	fine-tune	None	None
20170216-0900-PLENARY-2-en_20170216-09:17:09_4	I, and many others, will be doing everything we can to ensure that the UK plays a full part in this project in the years to come.	i and many others will be doing everything we can to ensure that the uk plays a full part in this project in the years to come.	124949	fine-tune	[['DATE', 115, 13], ['GPE', 71, 2]]	[['DATE', 113, 13], ['GPE', 69, 2]]
20170216-0900-PLENARY-2-en_20170216-09:17:09_5	On the details of this report, I believe that we as MEPs have a duty to promote the reduction and minimisation of environmental damage done by aviation and to encourage a shift to other, more sustainable forms of transport where appropriate.	on the details of this report i believe that we as meps have a duty to promote the reduction and minimisation of environmental damage done by aviation and to encourage a shift to other more sustainable forms of transport where appropriate.	124949	fine-tune	None	None
20170216-0900-PLENARY-2-en_20170216-09:17:09_6	It is fair to say the report could possibly have done more in this respect, but I still think we should support it.	it is fair to say the report could possibly have done more in this respect but i still think we should support it.	124949	fine-tune	None	None
20170216-0900-PLENARY-2-en_20170216-09:17:09_7	However, it is extremely welcome that we are voting today in support of calls to protect the rights of workers throughout the sector.	however it is extremely welcome that we are voting today in support of calls to protect the rights of workers throughout the sector.	124949	fine-tune	[['DATE', 52, 5]]	[['DATE', 51, 5]]
20141126-0900-PLENARY-9-en_20141126-13:18:59_2	I am not the right person to ask about meteorology or ocean currents or the Medieval Warm Period or sunspots absolutely, leave that to the experts.	i am not the right person to ask about meteorology or ocean currents or the medieval warm period or sunspots absolutely leave that to the experts.	4555	fine-tune	[['DATE', 76, 20]]	[['DATE', 76, 20]]
20141126-0900-PLENARY-9-en_20141126-13:18:59_8	All support large human populations.	all support large human populations.	4555	fine-tune	None	None
20141126-0900-PLENARY-9-en_20141126-13:18:59_6	The particular issue is how much we spend on seeking very slightly to mitigate the rise in temperatures with huge sums of money, versus adapting with a fractional sum of money.	the particular issue is how much we spend on seeking very slightly to mitigate the rise in temperatures with huge sums of money versus adapting with a fractional sum of money.	4555	fine-tune	None	None
20141126-0900-PLENARY-9-en_20141126-13:18:59_7		i look around the world and i see that in helsinki the mean temperature is about five degrees in athens it is about twenty one degrees in rio about thirty five degrees.	4555	fine-tune	[]	[['QUANTITY', 148, 19], ['GPE', 138, 3], ['QUANTITY', 116, 18], ['GPE', 97, 6], ['QUANTITY', 81, 12], ['GPE', 42, 8]]
20141126-0900-PLENARY-9-en_20141126-13:18:59_1	Of course, that is true, but it works both ways around.	of course that is true but it works both ways around.	4555	fine-tune	None	None
20141126-0900-PLENARY-9-en_20141126-13:18:59_9	I think we might just be able to adapt.	i think we might just be able to adapt.	4555	fine-tune	None	None
20141126-0900-PLENARY-9-en_20141126-13:18:59_5	How we then deal with that is a political, rather than a scientific, question.	how we then deal with that is a political rather than a scientific question.	4555	fine-tune	None	None
20141126-0900-PLENARY-9-en_20141126-13:18:59_3	But I am an elected legislator, and it seems to me that the question of how we respond proportionately and how we maximise our resources in dealing with the issue is the proper business of those of us who are answerable to constituents rather than of specialists in the field of climatology.	but i am an elected legislator and it seems to me that the question of how we respond proportionately and how we maximise our resources in dealing with the issue is the proper business of those of us who are answerable to constituents rather than of specialists in the field of climatology.	4555	fine-tune	None	None
20141126-0900-PLENARY-9-en_20141126-13:07:45_1	It is to make the directors of the Bank personally liable.	it is to make the directors of the bank personally liable.	4555	fine-tune	None	None
20141126-0900-PLENARY-9-en_20141126-13:07:45_7	You know, it is a funny thing, but if you start taxing countries for doing the right thing in order to pay countries for doing the wrong thing, you are going to end up with fewer of the former and more of the latter.	you know it is a funny thing but if you start taxing countries for doing the right thing in order to pay countries for doing the wrong thing you are going to end up with fewer of the former and more of the latter.	4555	fine-tune	None	None
20141126-0900-PLENARY-9-en_20141126-13:07:45_6	1.7 billion that has been levied on us in a surcharge for prosperity is what we got for having kept the Pound.	one seven billion that has been levied on us in a surcharge for prosperity is what we got for having kept the pound.	4555	fine-tune	[['CARDINAL', 0, 11]]	[['CARDINAL', 0, 17]]
20141126-0900-PLENARY-9-en_20141126-13:07:45_2	They would then have more incentive than anybody to prevent a meltdown which would leave them with nothing except personal debt.	they would then have more incentive than anybody to prevent a meltdown which would leave them with nothing except personal debt.	4555	fine-tune	None	None
20141126-0900-PLENARY-9-en_20141126-13:07:45_4	When the euro was being launched, there was a mechanism to sanction countries that breached the Stability Pact and thereby played some part in triggering the financial crisis. It was never used. France and Germany were among the infracting states. It was never triggered, and yet we have in practice a fine against those countries which performed better than expected including the UK, because we did not join the single currency.	when the euro was being launched there was a mechanism to sanction countries that breached the stability pact and thereby played some part in triggering the financial crisis. it was never used. france and germany were among the infracting states. it was never triggered and yet we have in practice a fine against those countries which performed better than expected including the uk because we did not join the single currency.	4555	fine-tune	[['GPE', 382, 2], ['GPE', 206, 7], ['GPE', 195, 6], ['LAW', 96, 14]]	[['GPE', 380, 2], ['GPE', 205, 7], ['GPE', 194, 6], ['LAW', 95, 14]]
20141126-0900-PLENARY-9-en_20141126-13:15:20_1	2020. It is essential that Lima sets us on the right track for ambitious actions necessary to combat the devastating effects of climate change, which are already being seen in some developing countries.	two thousand and twenty it is essential that lima sets us on the right track for ambitious actions necessary to combat the devastating effects of climate change which are already being seen in some developing countries.	None	fine-tune	[['EVENT', 27, 4], ['DATE', 0, 4]]	[['EVENT', 45, 4], ['DATE', 0, 23]]
20141126-0900-PLENARY-9-en_20141126-13:15:20_3	We currently have a feeble and weak kneed climate policy which is seriously risking the planet's ability to halt dangerous levels of global warming. There are countless reasons for more ambitious climate change strategy, both from Europe and globally, such as green jobs, mitigating climate change, a sustainable economy and energy independence, and I hope that governments involved in Lima listen to the irrefutable scientific evidence and take decisive climate action now for today's citizens and tomorrow's generation.	we currently have a feeble and weak kneed climate policy which is seriously risking the planet's ability to halt dangerous levels of global warming. there are countless reasons for more ambitious climate change strategy both from europe and globally such as green jobs mitigating climate change a sustainable economy and energy independence and i hope that governments involved in lima listen to the irrefutable scientific evidence and take decisive climate action now for today's citizens and tomorrow's generation.	None	fine-tune	[['EVENT', 386, 4], ['LOC', 231, 6]]	[['EVENT', 381, 4], ['LOC', 230, 6]]
20141126-0900-PLENARY-9-en_20141126-13:15:20_2	Citizens from both the developed and the developing world need governments to aim higher and act faster.	citizens from both the developed and the developing world need governments to aim higher and act faster.	None	fine-tune	None	None
20141126-0900-PLENARY-9-en_20141126-13:12:48_6	So while the precise consequences may differ from region to region and country to country, we are all affected.	so while the precise consequences may differ from region to region and country to country we are all affected.	4533	fine-tune	None	None
20141126-0900-PLENARY-9-en_20141126-13:12:48_4	West Midlands is also facing an increased risk of water shortages and lower agricultural productivity.	west midlands is also facing an increased risk of water shortages and lower agricultural productivity.	4533	fine-tune	[['GPE', 0, 13]]	[['GPE', 0, 13]]
20141126-0900-PLENARY-9-en_20141126-13:12:48_9	This will be crucial for paving the way towards an ambitious and legally binding international agreement for climate action, to be agreed in Paris next year.	this will be crucial for paving the way towards an ambitious and legally binding international agreement for climate action to be agreed in paris next year.	4533	fine-tune	[['DATE', 147, 9], ['GPE', 141, 5]]	[['DATE', 146, 9], ['GPE', 140, 5]]
20141126-0900-PLENARY-9-en_20141126-13:12:48_7	That is why I voted in favour of the motion for the resolution on the 2014 Climate Change Conference.	that is why i voted in favour of the motion for the resolution on the two thousand and fourteen climate change conference.	4533	fine-tune	[['EVENT', 70, 30]]	[['EVENT', 70, 51]]
20141126-0900-PLENARY-9-en_20141126-13:00:19_6	My friends, unless we get the diagnosis right, we will never get the prescription right.	my friends unless we get the diagnosis right we will never get the prescription right.	4555	fine-tune	None	None
20141126-0900-PLENARY-9-en_20141126-13:00:19_8	much more seriously, we are deceiving ourselves.	much more seriously we are deceiving ourselves.	4555	fine-tune	None	None
20141126-0900-PLENARY-9-en_20141126-13:00:19_4	The worse of it is that the lies are continuing. Even now, in this Chamber we are assured, over and over again, that the debt crisis had nothing to do with the euro and that the economic crisis is unrelated to monetary union.	the worse of it is that the lies are continuing. even now in this chamber we are assured over and over again that the debt crisis had nothing to do with the euro and that the economic crisis is unrelated to monetary union.	4555	fine-tune	None	None
20141126-0900-PLENARY-9-en_20141126-13:00:19_2	We used to think it a characteristic of totalitarian regimes, but what a wonderful description it is of the whole lamentable euro project also.	we used to think it a characteristic of totalitarian regimes but what a wonderful description it is of the whole lamentable euro project also.	4555	fine-tune	None	None
20141126-0900-PLENARY-9-en_20141126-13:00:19_5	The new President of the Commission, Mr Juncker, stood in front of us at a recent session and said that the euro had been a shelter in the economic storm.	the new president of the commission mr juncker stood in front of us at a recent session and said that the euro had been a shelter in the economic storm.	4555	fine-tune	[['PERSON', 40, 7]]	[['PERSON', 39, 7]]
20141126-0900-PLENARY-9-en_20141126-13:00:19_3	The thing was built on a fraud in the first place, as countries falsified their statistics in order to qualify, and it was then sold to the people in an act of even greater fraud, as we were told that it would add 1 to the GDP of all participating states every year in perpetuity.	the thing was built on a fraud in the first place as countries falsified their statistics in order to qualify and it was then sold to the people in an act of even greater fraud as we were told that it would add one to the gdp of all participating states every year in perpetuity.	4555	fine-tune	[['CARDINAL', 214, 1], ['ORDINAL', 38, 5]]	[['CARDINAL', 211, 3], ['ORDINAL', 38, 5]]
20141126-0900-PLENARY-9-en_20141126-13:00:19_7	We are not only deceiving our constituents	we are not only deceiving our constituents;	4555	fine-tune	None	None
20141126-0900-PLENARY-9-en_20141126-13:00:19_1	It was the gap between what is said and what is'.	it was the gap between what is said and what is'.	4555	fine-tune	None	None
20141126-0900-PLENARY-9-en_20141126-13:06:34_1	That was very evident as a result of the Troika imposed austerity measures that have resulted in mass emigration and increased levels of poverty.	that was very evident as a result of the troika imposed austerity measures that have resulted in mass emigration and increased levels of poverty.	124986	fine-tune	[['ORG', 41, 6]]	[['ORG', 41, 6]]
20141126-0900-PLENARY-9-en_20141126-13:06:34_2	That the ECB has now put on the record that it also intends to disregard an elected Parliament of a Member State is simply unacceptable.	that the ecb has now put on the record that it also intends to disregard an elected parliament of a member state is simply unacceptable.	124986	fine-tune	[['ORG', 84, 10], ['ORG', 9, 3]]	[['ORG', 84, 10], ['ORG', 9, 3]]
20141126-0900-PLENARY-9-en_20141126-13:06:34_3	Reading the title of this report The power of the ECB to impose sanctions', I could not help but wonder who has the power to impose sanctions on the ECB?	reading the title of this report the power of the ecb to impose sanctions' i could not help but wonder who has the power to impose sanctions on the ecb?	124986	fine-tune	[['ORG', 149, 3], ['ORG', 50, 3]]	[['ORG', 148, 3], ['ORG', 50, 3]]
20141126-0900-PLENARY-9-en_20141126-13:06:34_4	Because the ECB's role in exacerbating the Irish financial and banking crisis and its failure now to even engage in a Parliamentary inquiry into those events is unacceptable and should be challenged by Members of this House.	because the ecb's role in exacerbating the irish financial and banking crisis and its failure now to even engage in a parliamentary inquiry into those events is unacceptable and should be challenged by members of this house.	124986	fine-tune	[['NORP', 43, 5], ['ORG', 12, 3]]	[['NORP', 43, 5], ['ORG', 12, 3]]
20141126-0900-PLENARY-9-en_20141126-13:05:29_2	Indeed, I believe that the call for publishing sanctions only when all legal means of appeal against such a decision have been exhausted means that the door will be open for indefinite periods of stalling, during which the ECB cannot publish the fact that it has to impose sanctions on particular banks.	indeed i believe that the call for publishing sanctions only when all legal means of appeal against such a decision have been exhausted means that the door will be open for indefinite periods of stalling during which the ecb cannot publish the fact that it has to impose sanctions on particular banks.	4533	fine-tune	[['ORG', 223, 3]]	[['ORG', 221, 3]]
20141126-0900-PLENARY-9-en_20141126-13:05:29_4	We should avoid repeating the bottlenecks we had in the past. It is also important that markets know when banks have transgressed, and that sanctions have been put on them, as soon as possible.	we should avoid repeating the bottlenecks we had in the past. it is also important that markets know when banks have transgressed and that sanctions have been put on them as soon as possible.	4533	fine-tune	None	None
20141126-0900-PLENARY-9-en_20141126-12:56:34_0	Madam President, I voted in favour of the Gualtieri Report and would like to congratulate the rapporteur, because it is vital that we have clear rules that are adopted on the ECB's ability to circulate statistical information among the European system of central banks and to relevant Member States and national institutions. I also believe it is crucial	madam president i voted in favour of the gualtieri report and would like to congratulate the rapporteur because it is vital that we have clear rules that are adopted on the ecb's ability to circulate statistical information among the european system of central banks and to relevant member states and national institutions. i also believe it is crucial	4533	fine-tune	[['NORP', 236, 8], ['ORG', 175, 3], ['PERSON', 42, 9]]	[['NORP', 234, 8], ['ORG', 173, 3], ['PERSON', 41, 9]]
20141126-0900-PLENARY-9-en_20141126-12:56:34_1	that regional variations are included in the statistics that are taken on board by the ECB.	that regional variations are included in the statistics that are taken on board by the ecb.	4533	fine-tune	[['ORG', 87, 3]]	[['ORG', 87, 3]]
20141126-0900-PLENARY-9-en_20141126-12:56:34_2	It is crucial also that organisations on the receiving end should take all the necessary regulatory, technical, administrative and organisational measures to ensure the physical and logical protection of confidential statistical information.	it is crucial also that organisations on the receiving end should take all the necessary regulatory technical administrative and organisational measures to ensure the physical and logical protection of confidential statistical information.	4533	fine-tune	None	None
20141126-0900-PLENARY-9-en_20141126-12:56:34_3	I welcome the inclusion in the report of a call for increased transparency on the exemption of reporting agents and protection of confidential data used by the ECB under its new supervisory task.	i welcome the inclusion in the report of a call for increased transparency on the exemption of reporting agents and protection of confidential data used by the ecb under its new supervisory task.	4533	fine-tune	[['ORG', 160, 3]]	[['ORG', 160, 3]]
20110307-0900-PLENARY-23-en_20110307-19:31:21_6	related to the sectoral support in the new protocol.	related to the sectoral support in the new protocol.	101444	fine-tune	None	None
20110307-0900-PLENARY-23-en_20110307-19:31:21_2	This agreement aims to ensure the conservation and sustainable exploitation of fisheries stocks. We also want to prevent and combat illegal fishing and promote the development of port infrastructures and the protection of the marine environment. Through this agreement, fishing opportunities have been reduced, and the fees to be paid by ship owners	this agreement aims to ensure the conservation and sustainable exploitation of fisheries stocks. we also want to prevent and combat illegal fishing and promote the development of port infrastructures and the protection of the marine environment. through this agreement fishing opportunities have been reduced and the fees to be paid by ship owners	101444	fine-tune	None	None
20110307-0900-PLENARY-23-en_20110307-19:31:21_15	Moreover, with the aim of addressing all these deficiencies, a new mechanism, a trust account the CAS was introduced as a temporary measure.	moreover with the aim of addressing all these deficiencies a new mechanism a trust account the cas was introduced as a temporary measure.	101444	fine-tune	None	None
20110307-0900-PLENARY-23-en_20110307-19:31:21_22	We are trying to ensure appropriate information of the conservation and management measures pursuant to that regulation.	we are trying to ensure appropriate information of the conservation and management measures pursuant to that regulation.	101444	fine-tune	None	None
